אמילי בת מולד הירח – פרק שלישי, לוסי מוד מונטגומרי, https://www.shortstoryproject.com/he/story/%d7%90%d7%9e%d7%99%d7%9c%d7%99-%d7%91%d7%aa-%d7%9e%d7%95%d7%9c%d7%93-%d7%94%d7%99%d7%a8%d7%97-%d7%a4%d7%a8%d7%a7-%d7%a9%d7%9c%d7%99%d7%a9%d7%99/, #התבגרות#ילדות#כתיבהנשית#מלנכוליה#קלאסיקה
הלב של רוסיליונה, ג'ובאני בוקאצ'ו, https://www.shortstoryproject.com/he/story/%d7%94%d7%9c%d7%91-%d7%a9%d7%9c-%d7%a8%d7%95%d7%a1%d7%99%d7%9c%d7%99%d7%95%d7%a0%d7%94/, #אבסורד#בגידה#חיות-מחמד#קלאסיקה
רוֹתְחִין, נועה סוזנה מורג, https://www.shortstoryproject.com/he/story/%d7%a8%d7%95%d6%b9%d7%aa%d6%b0%d7%97%d6%b4%d7%99%d7%9f/, #אורבני#אימה#אלימות#אפל#ישראלי#מתח#ניכור
גידול סיאמי, איגנאסיו פָּדִיָה, https://www.shortstoryproject.com/he/story/%d7%92%d7%99%d7%93%d7%95%d7%9c-%d7%a1%d7%99%d7%90%d7%9e%d7%99/, #אלגוריה#יחסים#משפחה#פסיכולוגי#פרויד#שנון
בעניין החתונה, אלוי טיסון, https://www.shortstoryproject.com/he/story/%d7%91%d7%a2%d7%a0%d7%99%d7%99%d7%9f-%d7%94%d7%97%d7%aa%d7%95%d7%a0%d7%94/, #אווירתי#חברות#חתונה#מסע
יבול, מאת גרשון שופמן, תומר גרדי, https://www.shortstoryproject.com/he/story/%d7%99%d7%91%d7%95%d7%9c-%d7%9e%d7%90%d7%aa-%d7%92%d7%a8%d7%a9%d7%95%d7%9f-%d7%a9%d7%95%d7%a4%d7%9e%d7%9f/, #אירוניה#היסטוריה#ישראלי
יאללה בית"ר, עלית קרפ, https://www.shortstoryproject.com/he/story/%d7%99%d7%90%d7%9c%d7%9c%d7%94-%d7%91%d7%99%d7%aa%d7%a8/, #אבסורד#אווירתי#אקזסטנציאליסטי#חורף#ישראלי#כתיבהנשית#מסע
Endgame, עבד אל-האדי אל-עיג'לה, https://www.shortstoryproject.com/he/story/endgame/, #ילדות#ישראלי-פלסטיני#מלחמה#ספרותערבית#עכשווי#פוליטי
מיומנו של שרלוק הולמס, מוריס ברינג, https://www.shortstoryproject.com/he/story/%d7%9e%d7%99%d7%95%d7%9e%d7%a0%d7%95-%d7%a9%d7%9c-%d7%a9%d7%a8%d7%9c%d7%95%d7%a7-%d7%94%d7%95%d7%9c%d7%9e%d7%a1/, #בלשי#הומוריסטי#ספקולטיבי#קלאסיקה#שנון
המיקרוגל שלכם, פיליפ שנטלר , https://www.shortstoryproject.com/he/story/%d7%94%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c-%d7%a9%d7%9c%d7%9b%d7%9d/, #אפיסטולרי#אקזסטנציאליסטי#הומוריסטי#הרהורים#כתיבה#ניכור#שנון
